Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
32.540357,32.5395,18.788374,353.002999,0.007,65.075,65.068,32.5385,1.799977,-0.000004,16.270021,37.57425,10,9301098.165,0.000076,0.037911,0.611222,27.242841,240.518979,Sit
32.909768,32.91,18.999462,360.979564,0.016,65.809,65.793,32.90575,1.799995,0.000004,16.452757,37.999697,2,9401733.905,0.000077,0.038759,0.621831,27.413301,242.023321,Sit
30.677721,30.677,17.709891,313.64024,0.011,61.345,61.334,30.6715,1.79999,0.000012,15.335962,35.421902,3,7614841.968,0.000082,0.038534,0.600321,24.209632,213.737238,Sit
30.459654,30.459,17.584337,309.208902,0.014,60.908,60.894,30.457,1.799996,0.000001,15.227223,35.170273,1,7453849.137,0.000083,0.038505,0.598122,24.208673,213.728808,Sit
30.869732,30.869,17.827467,317.818587,0.005,61.74,61.735,30.8755,1.8,0.000007,15.437793,35.646993,13,7944467.238,0.00008,0.037738,0.595185,24.102518,212.792243,Sit
31.679728,31.679,18.290079,334.526987,0.01,63.352,63.342,31.6775,1.799998,0.000001,15.83841,36.579759,3,8387077.804,0.00008,0.038631,0.610001,25.251296,222.934398,Sit
30.849836,30.8495,17.81001,317.196452,0.009,61.69,61.681,30.854,1.799999,-0.000002,15.422685,35.621034,18,7925287.456,0.00008,0.037739,0.595058,24.114033,212.89393,Sit
0.034449,0.03383,0.017665,0.000312,-0.047012,0.10731,0.154322,0.022698,3.482904,0.166597,0.013867,0.038713,1546,9.226074,0.028021,0.000155,0.000642,0.00003,0.000222,Sit
30.239404,30.239,17.461462,304.902654,0.002,60.475,60.473,30.2415,1.8,0.000006,15.120805,34.918093,7,7296131.005,0.000084,0.038479,0.59589,23.174682,204.599422,Sit
30.840741,30.841,17.806217,317.06136,0.006,61.674,61.668,30.84,1.799998,0.000005,15.419376,35.611244,6,7738316.774,0.000082,0.038545,0.601844,24.205114,213.697433,Sit
30.938085,30.9375,17.861758,319.042407,0.008,61.867,61.859,30.935,1.799995,0.000002,15.4675,35.723334,16,7993844.717,0.00008,0.037748,0.595909,24.113526,212.889405,Sit
32.660678,32.682,18.85991,355.696209,0.004,65.318,65.314,32.664,1.800021,0.00001,16.331835,37.714203,27,9192719.669,0.000077,0.038734,0.619424,27.405373,241.95316,Sit
54.996757,55.004,17.322595,300.072292,24.999,84.992,59.993,30.00175,1.8,-0.000004,15.000576,57.659918,26,20197346.83,0.000082,0.045883,1.021381,64.982925,573.735593,Sit
33.998136,33.997,17.325179,300.161827,4.005,64,59.995,30.006,1.799997,-0.000003,15.002809,38.15738,22,8846568.814,0.000082,0.038963,0.654482,28.133335,248.381398,Sit
0.053102,0.05261,0.020413,0.000417,-0.029178,0.11984,0.149018,0.027514,2.944834,-0.008285,0.016293,0.056889,1675,19.839129,0.005302,0.000149,0.000983,0.000065,0.000522,Sit
32.622486,32.622,18.834076,354.722403,0.008,65.237,65.229,32.619,1.799994,0.000004,16.309575,37.668226,12,9373222.183,0.000076,0.03791,0.611924,27.230361,240.40874,Sit
30.684073,30.685,17.71502,313.821941,0.008,61.359,61.351,30.6805,1.799998,0.000004,15.340386,35.429967,2,7620820.624,0.000082,0.038533,0.600354,24.204655,213.693317,Sit
30.960873,30.9605,17.875516,319.534081,0.006,61.914,61.908,30.959,1.799996,0.000008,15.479429,35.749948,21,8013428.603,0.00008,0.037744,0.596066,24.103232,212.798491,Sit
31.10695,31.106,17.96091,322.594289,0.005,62.208,62.203,31.107,1.799999,0,15.553367,35.919151,9,8128168.158,0.000079,0.037758,0.597461,25.120587,221.781122,Sit
30.952427,30.952,17.87266,319.431958,0.004,61.901,61.897,30.95525,1.799992,0.000001,15.47696,35.741205,16,8008232.071,0.00008,0.037747,0.596008,24.098985,212.761085,Sit
32.956276,32.956,19.027548,362.047582,0.007,65.905,65.898,32.954,1.799995,-0.000001,16.477125,38.054034,12,9664682.683,0.000075,0.037941,0.615042,28.311008,249.950103,Sit
31.441469,31.443,18.15422,329.575717,0.005,62.878,62.873,31.44075,1.800002,-0.000001,15.720746,36.305491,8,8199829.838,0.00008,0.038613,0.607744,25.25121,222.933648,Sit
52.097145,52.099,18.820173,354.1989,19.507,84.687,65.18,32.595,1.800003,0.000004,16.297482,55.39185,1,20001967.59,0.000077,0.044332,0.940836,59.143988,522.181733,Sit
