Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
31.41697,31.38042,18.0825,326.9779,0.095571,62.70712,62.6116,31.2904,1.8,-0.000155,15.6591,36.24847,1274,8220082.251,0,0.03829,0.60526,24.89468,219.78676,Sit
31.53425,31.50433,18.2086,331.5549,-0.012733,63.32502,63.3378,31.549,1.8002,-0.000406,15.7675,36.41306,1640,8273683.189,0.000481,0.038626,0.60857,25.2464,222.89235,Sit
32.01468,32.02225,17.3229,300.0812,2.01218,61.99386,59.9817,30.0272,1.8,-0.000055,15.0009,36.40016,1501,8047876.074,0,0.038318,0.62082,25.57282,225.77436,Sit
30.862,30.88704,17.8224,317.6367,-1.70847,61.73408,63.4426,30.8681,1.7994,2.4e-05,15.4342,35.63773,1560,7756182.152,0.000491,0.038643,0.60208,24.20166,213.66618,Sit
32.96521,32.96365,19.0283,362.0757,0.026564,65.90631,65.8797,32.9497,1.7999,-0.000131,16.4779,38.06214,1770,9668799.9,0,0.037943,0.61519,28.32308,250.05739,Sit
34.99847,35.01087,17.3245,300.1377,5.0204,64.98494,59.9645,29.9746,1.8001,0.000101,15.0022,39.05099,1421,9053804.327,0,0.040137,0.67944,29.57054,261.06978,Sit
32.8757,32.87265,18.9816,360.3012,-0.000304,65.76021,65.7605,32.8826,1.8,4.3e-05,16.4372,37.96126,1713,9374077.78,0.000307,0.038756,0.62148,27.40812,241.97719,Sit
31.04042,31.03293,17.9203,321.1375,-0.023119,62.08393,62.1071,31.0406,1.8001,-0.000084,15.518,35.84124,1498,8072391.182,0.000637,0.037767,0.59693,25.13933,221.94553,Sit
31.71545,31.74005,18.3195,335.6052,-0.082598,63.41903,63.5016,31.7069,1.8005,-0.000494,15.8633,36.62542,1505,8420101.478,0.000319,0.038637,0.61034,26.30986,232.28126,Sit
32.53936,32.53345,18.7883,352.999,-0.02593,65.13615,65.1621,32.5239,1.7999,-0.00001,16.2698,37.57333,1689,9300643.804,0.000304,0.037922,0.6112,27.24168,240.50924,Sit
32.91034,32.93106,18.9992,360.9706,-0.026909,65.83199,65.8589,32.9312,1.8,-0.000122,16.4528,38.00008,1675,9401922.361,0.000154,0.038769,0.62184,27.41385,242.02775,Sit
30.67661,30.68668,17.7099,313.6407,-0.033652,61.36241,61.3961,30.6829,1.7999,0.000185,15.3364,35.42094,1557,7614429.8,0.000165,0.038537,0.6003,24.20768,213.72009,Sit
30.45698,30.46204,17.5852,309.238,-0.012137,60.94853,60.9607,30.43,1.8001,0.000123,15.2278,35.16837,1549,7453043.454,0.000332,0.038512,0.59808,24.20611,213.70524,Sit
30.87496,30.85845,17.8273,317.8127,0.020388,61.76168,61.7413,30.8407,1.8,-0.000012,15.4382,35.65144,1560,7946449.164,0,0.037728,0.59527,24.10882,212.84873,Sit
31.68078,31.69808,18.2908,334.5542,-0.194455,63.34586,63.5403,31.6703,1.8002,-0.000049,15.8386,36.58105,1558,8387667.422,0.000638,0.038634,0.61002,25.25267,222.94701,Sit
30.86716,30.84594,17.8107,317.2219,0.037749,61.7604,61.7227,30.8504,1.8001,9.4e-05,15.4233,35.6364,1468,7932124.995,0,0.037751,0.59535,24.13455,213.07404,Sit
30.82655,30.84217,17.7723,315.8552,0.046447,61.61282,61.5664,30.7944,1.7999,-0.000098,15.3892,35.58202,1280,7793989.734,0,0.038178,0.59881,24.77093,218.69251,Sit
30.23972,30.24869,17.462,304.9219,-0.03252,60.49763,60.5301,30.2242,1.8001,-0.000052,15.121,34.91864,1521,7296361.136,0.000167,0.038493,0.5959,23.17575,204.6068,Sit
30.84522,30.85402,17.805,317.0184,-0.160404,61.72599,61.8864,30.8785,1.7998,0.000196,15.4185,35.61452,1389,7739739.784,0.000164,0.038574,0.60191,24.20992,213.73844,Sit
30.95553,30.95225,17.8613,319.0269,0.056096,61.8878,61.8317,30.9737,1.7999,0.000122,15.4675,35.73822,1437,8000510.119,0,0.037749,0.5962,24.1342,213.07261,Sit
32.66238,32.70383,18.8608,355.7299,0.027894,65.3279,65.3,32.7289,1.7998,-0.000155,16.3322,37.71612,1640,9193654.429,0,0.038729,0.61946,27.40969,241.98865,Sit
55.00103,54.99624,17.3226,300.073,25.0343,85.02591,59.9916,29.9998,1.8001,1.3e-05,15.0003,57.664,1578,20200207.09,0,0.045884,1.0215,64.99184,573.81521,Sit
34.00434,34.01965,17.3294,300.3077,4.0251,64.02329,59.9982,30.0592,1.7997,-0.000203,15.0067,38.16481,1510,8850016.562,0,0.038968,0.65461,28.14458,248.47998,Sit
40.75224,40.7753,17.6967,313.1745,10.1023,71.43113,61.3288,30.5877,1.8,0.000197,15.3242,44.42824,1353,12099814.82,0,0.041449,0.7689,37.77407,333.50386,Sit
32.61561,32.61942,18.8324,354.66,0.030117,65.26597,65.2358,32.6353,1.7996,0.000278,16.3086,37.66145,1703,9369848.602,0,0.037903,0.61181,27.22074,240.32299,Sit
30.68754,30.671,17.7147,313.8106,0.024191,61.38246,61.3583,30.6738,1.7999,-0.000015,15.3402,35.43281,1610,7622042.675,0,0.038533,0.60041,24.20867,213.7293,Sit
30.95926,30.94702,17.8792,319.6648,-0.222078,61.95652,62.1786,30.9784,1.8009,-0.00066,15.4817,35.75038,1596,8013623.115,0.000159,0.037812,0.59605,24.10388,212.80391,Sit
31.10572,31.12568,17.9598,322.5562,0.034435,62.2047,62.1703,31.1013,1.7999,0.000163,15.5526,35.91756,1666,8127447.562,0,0.037751,0.59744,25.11821,221.76015,Sit
30.94983,30.9485,17.8739,319.475,-0.141508,61.86939,62.0109,30.916,1.8002,-0.000264,15.4774,35.73955,1458,8007492.025,0.000319,0.037752,0.59597,24.0979,212.75065,Sit
32.95213,32.93132,19.0272,362.0359,-0.052849,65.97547,66.0283,32.9214,1.8,6.7e-05,16.4769,38.05029,1547,9662778.943,0.0003,0.037925,0.61498,28.3055,249.90041,Sit
31.44347,31.45603,18.1536,329.5518,0.018481,62.87822,62.8597,31.4498,1.7999,0.000126,15.7204,36.3069,1577,8200464.277,0,0.038609,0.60777,25.25303,222.9493,Sit
52.13662,52.14017,18.8212,354.238,19.5174,84.74595,65.2286,32.5597,1.8002,2.8e-05,16.2978,55.42933,1270,20029045.48,0,0.044357,0.94151,59.22528,522.89882,Sit
31.16212,31.1564,17.9925,323.7315,-0.129053,62.35551,62.4846,31.1189,1.7998,0.0004,15.5815,35.98272,1360,7983467.959,0.000162,0.03857,0.60497,25.24801,222.90525,Sit
30.24485,30.24358,17.4578,304.7743,0.048274,61.42498,61.3767,30.2287,1.7997,-0.000024,15.1179,34.92099,1529,7466849.116,0,0.037747,0.58923,23.11785,204.09838,Sit
31.53115,31.52106,18.191,330.9111,-0.068622,63.18871,63.2573,31.5383,1.7999,0.000212,15.7525,36.40154,1351,8349277.79,0.000317,0.038255,0.60554,25.79233,227.70808,Sit
30.45065,30.42492,17.573,308.8092,0.015245,60.88844,60.8732,30.3927,1.7999,1.4e-05,15.2176,35.15681,1573,7618710.037,0,0.037689,0.59121,24.11943,212.94088,Sit
